"user_id";"channel";"timestamp";"revenue";"total_touchpoints";"linear_weight"
"U00001";"Organic Search";"2025-05-14 00:00:00";427.99;2;0.5
"U00001";"TikTok Ads";"2025-05-16 00:00:00";427.99;2;0.5
"U00005";"Google Ads";"2025-02-21 00:00:00";470.38;2;0.5
"U00005";"Facebook Ads";"2025-02-21 00:00:00";470.38;2;0.5
"U00006";"Organic Search";"2025-04-23 00:00:00";853.58;3;0.333
"U00006";"Google Ads";"2025-04-25 00:00:00";853.58;3;0.333
"U00006";"Facebook Ads";"2025-04-29 00:00:00";853.58;3;0.333
"U00008";"TikTok Ads";"2025-06-16 00:00:00";790.46;3;0.333
"U00008";"Facebook Ads";"2025-06-20 00:00:00";790.46;3;0.333
"U00008";"Google Ads";"2025-06-24 00:00:00";790.46;3;0.333
"U00009";"Google Ads";"2025-06-11 00:00:00";385.54;3;0.333
"U00009";"Facebook Ads";"2025-06-16 00:00:00";385.54;3;0.333
"U00009";"Google Ads";"2025-06-17 00:00:00";385.54;3;0.333
"U00010";"TikTok Ads";"2025-05-14 00:00:00";434.21;4;0.25
"U00010";"Organic Search";"2025-05-15 00:00:00";434.21;4;0.25
"U00010";"Organic Search";"2025-05-17 00:00:00";434.21;4;0.25
"U00010";"Google Ads";"2025-05-22 00:00:00";434.21;4;0.25
"U00017";"TikTok Ads";"2025-01-07 00:00:00";370.47;5;0.2
"U00017";"Facebook Ads";"2025-01-08 00:00:00";370.47;5;0.2
"U00017";"Organic Search";"2025-01-13 00:00:00";370.47;5;0.2
"U00017";"Google Ads";"2025-01-14 00:00:00";370.47;5;0.2
"U00017";"TikTok Ads";"2025-01-18 00:00:00";370.47;5;0.2
"U00018";"Organic Search";"2025-06-20 00:00:00";104.29;6;0.167
"U00018";"TikTok Ads";"2025-06-24 00:00:00";104.29;6;0.167
"U00018";"Organic Search";"2025-06-27 00:00:00";104.29;6;0.167
"U00018";"Facebook Ads";"2025-06-28 00:00:00";104.29;6;0.167
"U00018";"Organic Search";"2025-06-30 00:00:00";104.29;6;0.167
"U00018";"Facebook Ads";"2025-07-01 00:00:00";104.29;6;0.167
"U00026";"Google Ads";"2025-01-02 00:00:00";163.6;5;0.2
"U00026";"TikTok Ads";"2025-01-07 00:00:00";163.6;5;0.2
"U00026";"Organic Search";"2025-01-08 00:00:00";163.6;5;0.2
